1	6	6
2	5.5	5.5
3	5.94336	5.5
4	5.45502	5.45502
5	5.92981	5.45502
6	5.25828	5.25828
7	5.5945	5.25828
8	5.21639	5.21639
9	5.37812	5.21639
10	5.14684	5.14684
11	5.25684	5.14684
12	5.1234	5.1234
13	5.17469	5.1234
14	5.08674	5.08674
15	5.12544	5.08674
16	5.07139	5.07139
17	5.08299	5.07139
18	5.04823	5.04823
19	5.05683	5.04823
20	5.0372	5.0372
21	5.03106	5.03106
22	5.02099	5.02099
23	5.015	5.015
24	5.01254	5.01254
25	4.99772	4.99772
26	5.00042	4.99772
27	4.98689	4.98689
28	4.99367	4.98689
29	4.9745	4.9745
30	4.98418	4.9745
31	4.96666	4.96666
32	4.97205	4.96666
33	4.95735	4.95735
34	4.96219	4.95735
35	4.95139	4.95139
36	4.95192	4.95139
37	4.94414	4.94414
38	4.94457	4.94414
39	4.9394	4.9394
40	4.93661	4.93661
41	4.9336	4.9336
42	4.93093	4.93093
43	4.92971	4.92971
44	4.9246	4.9246
45	4.92496	4.9246
46	4.92005	4.92005
47	4.92166	4.92005
48	4.91495	4.91495
49	4.91771	4.91495
50	4.91121	4.91121
51	4.91282	4.91121
52	4.90702	4.90702
53	4.90844	4.90702
[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,]
[6,5.5,5.94336,5.45502,5.92981,5.25828,5.5945,5.21639,5.37812,5.14684,5.25684,5.1234,5.17469,5.08674,5.12544,5.07139,5.08299,5.04823,5.05683,5.0372,5.03106,5.02099,5.015,5.01254,4.99772,5.00042,4.98689,4.99367,4.9745,4.98418,4.96666,4.97205,4.95735,4.96219,4.95139,4.95192,4.94414,4.94457,4.9394,4.93661,4.9336,4.93093,4.92971,4.9246,4.92496,4.92005,4.92166,4.91495,4.91771,4.91121,4.91282,4.90702,]
